Title,Cleaned_Title
Zero-shot text-to-image generation,zero shot text image generation
"Opinion Paper:“So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research …",opinion chatgpt write multidisciplinary perspective opportunity challenge implication generative conversational ai research
Diffusion models beat gans on image synthesis,diffusion model beat gan image synthesis
Masked autoencoders are scalable vision learners,masked autoencoder scalable vision learner
Thematic analysis: A practical guide,thematic analysis practical guide
Direct preference optimization: Your language model is secretly a reward model,direct preference optimization language model secretly reward model
Palm: Scaling language modeling with pathways,palm scale language modeling pathway
Segment anything,segment
"Kvalitativní výzkum: základní teorie, metody a aplikace",kvalitativní výzkum základní teorie metody aplikace
Lecanemab in early Alzheimer's disease,lecanemab early alzheimer disease
Improved baselines with visual instruction tuning,improved baseline visual instruction tuning
"IDF Diabetes Atlas: Global, regional and country-level diabetes prevalence estimates for 2021 and projections for 2045",idf diabetes atlas global regional country level diabetes prevalence estimate projection
Robust speech recognition via large-scale weak supervision,robust speech recognition large scale weak supervision
A convnet for the 2020s,convnet
WHO Director-General's opening remarks at the media briefing on COVID-19,director general opening remark medium briefing
Scaling instruction-finetuned language models,scale instruction finetune language model
2021 ESC Guidelines on cardiovascular disease prevention in clinical practice: Developed by the Task Force for cardiovascular disease prevention in clinical practice …,esc guidelines cardiovascular disease prevention clinical practice develop task force cardiovascular disease prevention clinical practice
"Teori, metode, dan teknik penelitian sastra",teori metode dan teknik penelitian sastra
Gemini: a family of highly capable multimodal models,gemini family highly capable multimodal model
"LAMMPS-a flexible simulation tool for particle-based materials modeling at the atomic, meso, and continuum scales",lammps flexible simulation tool particle base material modeling atomic meso continuum scale
Training language models to follow instructions with human feedback,train language model follow instruction human feedback
2021 ESC Guidelines for the diagnosis and treatment of acute and chronic heart failure: Developed by the Task Force for the diagnosis and treatment of acute and …,esc guidelines diagnosis treatment acute chronic heart failure develop task force diagnosis treatment acute
Metode penelitian kualitatif,metode penelitian kualitatif
Dasar dasar proses belajar mengajar,dasar dasar prose belajar mengajar
Yolox: Exceeding yolo series in 2021,yolox exceed yolo series
Blip-2: Bootstrapping language-image pre-training with frozen image encoders and large language models,bootstrappe language image pre training frozen image encoder large language model
SegFormer: Simple and efficient design for semantic segmentation with transformers,segformer simple efficient design semantic segmentation transformer
Llama 2: Open foundation and fine-tuned chat models,llama open foundation fine tune chat model
Lora: Low-rank adaptation of large language models.,lora low rank adaptation large language model
Metode penelitian kesehatan,metode penelitian kesehatan
clusterProfiler 4.0: A universal enrichment tool for interpreting omics data,clusterprofil universal enrichment tool interpret omic datum
Adding conditional control to text-to-image diffusion models,add conditional control text image diffusion model
Review of particle physics,review particle physic
Visual instruction tuning,visual instruction tuning
Surviving sepsis campaign: international guidelines for management of sepsis and septic shock 2021,survive sepsis campaign international guideline management sepsis septic shock
ChatGPT for good? On opportunities and challenges of large language models for education,chatgpt good opportunity challenge large language model education
Qlora: Efficient finetuning of quantized llms,qlora efficient finetuning quantize llm
Laion-5b: An open large-scale dataset for training next generation image-text models,open large scale dataset train generation image text model
Emerging properties in self-supervised vision transformers,emerge property self supervise vision transformer
Blip: Bootstrapping language-image pre-training for unified vision-language understanding and generation,blip bootstrappe language image pre training unified vision language understanding generation
Hierarchical text-conditional image generation with clip latents,hierarchical text conditional image generation clip latent
2D–2D SnS2/Covalent Organic Framework Heterojunction Photocatalysts for Highly Enhanced Solar-Driven Hydrogen Evolution without Cocatalysts,covalent organic framework heterojunction photocatalysts highly enhanced solar driven hydrogen evolution cocatalyst
Hallmarks of cancer: new dimensions,hallmark cancer new dimension
Llama: Open and efficient foundation language models,llama open efficient foundation language model
FinnGen provides genetic insights from a well-phenotyped isolated population,finngen provide genetic insight phenotype isolated population
AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models,alphafold protein structure database massively expand structural coverage protein sequence space high accuracy model
The STRING database in 2023: protein–protein association networks and functional enrichment analyses for any sequenced genome of interest,string database protein protein association network functional enrichment analysis sequence genome interest
Accurate structure prediction of biomolecular interactions with AlphaFold 3,accurate structure prediction biomolecular interaction alphafold
Global burden of bacterial antimicrobial resistance in 2019: a systematic analysis,global burden bacterial antimicrobial resistance systematic analysis
68 model pembelajaran inovatif dalam kurikulum 2013,model pembelajaran inovatif dalam kurikulum
